Taxa,Dat1_Exp,NL1_S1,NL2_S6,NL3_S8,NL4_S22,NL5_S24,NL6_S26,NL7_S36,NL8_S39,PC1_S10,PC2_S15,PC3_S20,PC4_S29,Dat1_Cont
Taxon91,372,0,0,0,0,0,0,0,0,0,0,0,0,0
Taxon92,80916,4,0,12,9,10,0,4,7,26,13,6,3,94
Taxon93,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Taxon94,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Taxon95,1225,0,0,0,0,0,0,0,0,0,0,0,0,0
Taxon96,211,1,0,0,0,0,0,0,0,0,0,0,0,1
Taxon97,7072,1,0,0,0,0,0,0,0,0,0,0,0,1
Taxon98,124,0,0,0,0,0,0,0,0,0,0,0,0,0
Taxon99,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Taxon100,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Taxon101,13,0,0,0,0,0,0,0,0,0,0,0,0,0
Taxon102,2125,1,0,0,1,1,0,0,0,0,0,1,0,4
Taxon103,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Taxon104,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Taxon105,25,0,0,0,0,0,0,0,0,0,0,0,0,0
Taxon106,4,0,0,0,0,0,0,0,0,0,0,0,0,0
Taxon107,889,0,0,0,0,0,0,0,0,0,0,0,0,0
Taxon108,201,0,0,0,0,0,0,0,0,0,0,0,0,0
Taxon109,355,0,0,0,0,0,0,0,0,0,0,0,0,0
Taxon110,350,0,0,1,0,0,0,0,0,0,0,0,0,1
Taxon111,1129,0,0,0,0,1,0,0,0,0,0,0,0,1
Taxon112,5,0,0,0,0,0,0,0,0,0,0,0,0,0
Taxon113,5530,0,0,0,0,0,1,1,0,0,2,0,1,5
Taxon114,515,0,0,0,0,0,0,0,0,0,0,2,0,2
Taxon115,4,0,0,0,0,0,0,0,0,0,0,0,0,0
Taxon116,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Taxon117,186,0,0,0,0,0,0,0,0,0,0,0,0,0
Taxon118,10609,2,0,0,10,2,1,0,0,0,0,4,0,19
Taxon119,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Taxon120,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Taxon121,13,0,0,0,0,0,0,0,0,0,0,0,0,0
Taxon122,2,0,0,0,0,0,0,0,0,0,0,0,0,0
